City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jalu,LY,29.0331,21.5482,73.89,38,88,4.34,overcast clouds
1,Cayenne,GF,4.9333,-52.3333,75.24,100,40,0.0,scattered clouds
2,Ushuaia,AR,-54.8,-68.3,35.26,87,75,9.22,broken clouds
3,Yellowknife,CA,62.456,-114.3525,32.56,74,100,24.16,light snow
4,Mahibadhoo,MV,3.7833,72.9667,81.43,79,91,20.98,overcast clouds
5,Senno,RU,59.5336,33.9167,42.51,89,99,7.27,overcast clouds
6,Cape Town,ZA,-33.9258,18.4232,65.91,85,75,11.5,broken clouds
7,Ambulu,ID,-8.345,113.6058,83.44,67,100,9.53,light rain
8,Lebu,CL,-37.6167,-73.65,51.48,93,99,7.52,overcast clouds
9,Sao Filipe,CV,14.8961,-24.4956,79.03,80,87,6.08,light rain
10,Harper,LR,4.375,-7.7169,75.88,88,100,7.0,overcast clouds
11,Pevek,RU,69.7008,170.3133,24.01,82,100,15.64,overcast clouds
12,Hobart,AU,-42.8794,147.3294,66.22,74,75,19.57,broken clouds
13,Castro,BR,-24.7911,-50.0119,60.64,96,100,2.95,light rain
14,Airai,TL,-8.9266,125.4092,71.22,64,99,1.54,overcast clouds
15,Constitucion,CL,-35.3333,-72.4167,49.48,82,0,8.25,clear sky
16,Konongo,GH,6.6167,-1.2167,69.71,100,97,0.83,light rain
17,Chake Chake,TZ,-5.2459,39.7666,80.24,56,15,10.6,few clouds
18,Ozernovskiy,RU,51.5,156.5167,46.6,82,96,33.55,light rain
19,Chokurdakh,RU,70.6333,147.9167,11.66,86,41,5.23,scattered clouds
20,Calatayud,ES,41.3535,-1.6432,56.95,86,75,2.39,broken clouds
21,Angoche,MZ,-16.2325,39.9086,81.12,65,17,4.74,few clouds
22,Luderitz,NA,-26.6481,15.1594,65.16,68,65,13.11,broken clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,66.54,92,91,5.01,overcast clouds
24,Belyy Yar,RU,53.6039,91.3903,53.49,54,0,17.9,clear sky
25,Jinka,ET,5.65,36.65,70.83,54,63,5.75,broken clouds
26,Mahebourg,MU,-20.4081,57.7,77.29,57,40,13.8,scattered clouds
27,Najran,SA,17.4924,44.1277,79.45,18,10,4.72,clear sky
28,Punta Arenas,CL,-53.15,-70.9167,33.91,93,75,17.27,light shower sleet
29,Victoria,HK,22.2855,114.1577,86.18,42,6,11.99,clear sky
30,Buinsk,RU,54.95,48.2833,49.17,87,100,2.57,overcast clouds
31,Saint George,US,37.1041,-113.5841,70.39,30,0,3.0,clear sky
32,Galle,LK,6.0367,80.217,81.12,81,74,12.53,broken clouds
33,Kapaa,US,22.0752,-159.319,82.38,94,20,6.91,few clouds
34,Emba,KZ,48.8264,58.1442,59.79,22,100,11.65,overcast clouds
35,New Norfolk,AU,-42.7826,147.0587,65.88,59,100,5.99,overcast clouds
36,Sangar,RU,63.9242,127.4739,28.58,78,99,9.42,overcast clouds
37,Magnolia,US,33.2671,-93.2393,63.88,59,8,4.0,clear sky
38,Calamar,CO,10.2511,-74.9146,76.19,91,42,4.45,scattered clouds
39,Bluff,NZ,-46.6,168.3333,48.85,63,31,6.38,scattered clouds
40,Kawalu,ID,-7.3817,108.2082,77.05,87,99,5.26,overcast clouds
41,Dovers,VC,12.8833,-61.1833,80.26,83,100,16.22,overcast clouds
42,Acapulco,MX,16.8634,-99.8901,76.82,94,100,8.05,overcast clouds
43,Ozerna,UA,49.6289,25.329,45.23,83,41,5.44,scattered clouds
44,Portland,US,45.5234,-122.6762,62.82,75,0,3.44,clear sky
45,Itaituba,BR,-4.2761,-55.9836,72.39,97,55,1.45,broken clouds
46,Flin Flon,CA,54.7682,-101.865,39.49,60,100,15.77,overcast clouds
47,Georgetown,MY,5.4112,100.3354,86.95,69,20,11.5,few clouds
48,Saint-Philippe,RE,-21.3585,55.7679,78.12,58,0,12.82,clear sky
49,Bubaque,GW,11.2833,-15.8333,82.85,75,90,10.51,overcast clouds
50,Busselton,AU,-33.65,115.3333,61.84,44,5,14.41,clear sky
51,Port Elizabeth,ZA,-33.918,25.5701,72.1,87,40,2.3,scattered clouds
52,Harboore,DK,56.6175,8.1807,51.15,90,73,12.33,broken clouds
53,Hilo,US,19.7297,-155.09,81.28,92,0,4.61,clear sky
54,Gandajika,CD,-6.75,23.95,79.56,56,71,4.29,broken clouds
55,Baykit,RU,61.67,96.37,38.55,82,99,10.0,overcast clouds
56,Bethel,US,41.3712,-73.414,55.9,86,0,0.0,clear sky
57,Srednekolymsk,RU,67.45,153.6833,10.17,90,12,3.96,few clouds
58,Khandyga,RU,62.6667,135.6,28.45,90,100,3.42,overcast clouds
59,Avarua,CK,-21.2078,-159.775,71.65,100,75,10.36,light rain
60,San Quintin,MX,30.4833,-115.95,66.31,85,21,9.24,few clouds
61,Torbay,CA,47.6666,-52.7314,51.28,83,75,19.57,broken clouds
62,Rikitea,PF,-23.1203,-134.9692,69.13,78,98,20.07,overcast clouds
63,Tasiilaq,GL,65.6145,-37.6368,28.89,96,100,3.96,light snow
64,Faanui,PF,-16.4833,-151.75,78.62,73,0,14.56,clear sky
65,Ancud,CL,-41.8697,-73.8203,47.32,87,100,13.22,light rain
66,Iqaluit,CA,63.7506,-68.5145,24.53,86,75,3.44,light snow
67,Butaritari,KI,3.0707,172.7902,82.08,73,27,20.94,scattered clouds
68,Cheremukhovo,RU,60.3484,59.9851,45.59,68,23,4.63,few clouds
69,Gemena,CD,3.25,19.7667,73.89,93,97,2.13,overcast clouds
70,Maracaibo,VE,10.6317,-71.6406,77.77,86,100,4.79,overcast clouds
71,Vila Do Maio,CV,15.1333,-23.2167,77.79,81,40,9.6,scattered clouds
72,Dabeiba,CO,7.0017,-76.2672,73.98,98,100,1.28,overcast clouds
73,Nelson Bay,AU,-32.7167,152.15,68.09,72,100,18.01,overcast clouds
74,Vaini,TO,-21.2,-175.2,73.56,100,40,4.61,scattered clouds
75,Jamestown,US,42.097,-79.2353,56.71,70,0,5.75,clear sky
76,Yarada,IN,17.65,83.2667,88.12,70,40,2.3,haze
77,Atuona,PF,-9.8,-139.0333,76.93,78,21,17.18,few clouds
78,Jablah,SY,35.3614,35.9256,71.89,56,0,3.44,clear sky
79,Ponta Do Sol,PT,32.6667,-17.1,68.72,80,59,3.13,broken clouds
80,Hermanus,ZA,-34.4187,19.2345,66.79,78,2,3.71,clear sky
81,Aksarka,RU,66.5606,67.7975,42.15,69,82,9.4,broken clouds
82,San Bartolome De Tirajana,ES,27.9248,-15.5733,61.27,76,20,13.8,few clouds
83,Gubbio,IT,43.3545,12.5725,53.96,76,99,2.84,overcast clouds
84,Steamboat Springs,US,40.485,-106.8317,47.7,52,0,9.22,clear sky
85,Nikolskoye,RU,59.7035,30.7861,48.78,83,2,7.63,clear sky
86,Nanortalik,GL,60.1432,-45.2371,30.06,70,61,6.15,broken clouds
87,Bredasdorp,ZA,-34.5322,20.0403,67.89,68,14,5.88,few clouds
88,Cabo San Lucas,MX,22.8909,-109.9124,82.51,77,0,1.01,clear sky
89,Grindavik,IS,63.8424,-22.4338,41.47,87,40,16.11,scattered clouds
90,Axim,GH,4.8699,-2.2405,76.6,83,99,0.74,overcast clouds
91,Port Hedland,AU,-20.3167,118.5667,87.85,30,9,25.32,clear sky
92,Mataura,NZ,-46.1927,168.8643,45.18,70,16,3.51,few clouds
93,Rioja,AR,-29.4111,-66.8507,60.73,33,21,5.19,few clouds
94,Boddam,GB,57.4667,-1.7833,50.38,84,100,27.4,moderate rain
95,Souillac,MU,-20.5167,57.5167,77.38,57,40,13.8,scattered clouds
96,Port Alfred,ZA,-33.5906,26.891,69.19,84,92,3.0,overcast clouds
97,Albany,US,42.6001,-73.9662,52.54,85,6,2.46,clear sky
98,Klaksvik,FO,62.2266,-6.589,49.12,85,100,18.66,overcast clouds
99,Ribeira Grande,PT,38.5167,-28.7,72.0,83,75,3.0,broken clouds
100,Half Moon Bay,US,37.4636,-122.4286,60.13,91,100,8.05,mist
101,Mount Gambier,AU,-37.8333,140.7667,56.44,94,100,5.44,moderate rain
102,Luanda,AO,-8.8368,13.2343,75.2,83,100,5.75,overcast clouds
103,Jaru,BR,-10.4389,-62.4664,72.57,91,100,0.85,overcast clouds
104,Ulladulla,AU,-35.35,150.4667,61.97,81,100,14.85,overcast clouds
105,Namikupa,TZ,-10.8333,39.6,83.41,43,0,4.9,clear sky
106,Bad Hersfeld,DE,50.8667,9.7,40.41,93,56,1.99,broken clouds
107,Saldanha,ZA,-33.0117,17.9442,60.85,85,99,15.23,overcast clouds
108,Cockburn Town,TC,21.4612,-71.1419,82.26,76,63,16.22,broken clouds
109,Grand Gaube,MU,-20.0064,57.6608,77.4,56,0,10.0,clear sky
110,Belmonte,BR,-15.8631,-38.8828,74.1,83,44,11.36,scattered clouds
111,Lorengau,PG,-2.0226,147.2712,83.71,64,48,3.94,scattered clouds
112,General Roca,AR,-39.0333,-67.5833,54.63,49,7,20.45,clear sky
113,Mugumu,TZ,-1.85,34.7,77.85,31,21,5.01,few clouds
114,Bandarbeyla,SO,9.4942,50.8122,86.56,53,1,9.06,clear sky
115,Hovd,MN,48.0056,91.6419,51.3,21,8,5.03,clear sky
116,Santa Cruz,BO,-17.8,-63.1667,62.06,94,100,11.5,overcast clouds
117,Katsuura,JP,35.1333,140.3,71.55,73,100,17.27,overcast clouds
118,Maniitsoq,GL,65.4167,-52.9,26.69,75,100,6.24,overcast clouds
119,Zyryanka,RU,65.75,150.85,13.06,93,100,5.14,overcast clouds
120,Banjar,ID,-8.19,114.9675,81.81,75,100,6.46,overcast clouds
121,Tacoronte,ES,28.4769,-16.4102,62.33,92,75,18.41,broken clouds
122,Diphu,IN,25.8333,93.4333,85.69,89,98,2.71,overcast clouds
123,Roald,NO,62.5833,6.1333,50.14,76,75,8.05,light rain
124,Ostrovnoy,RU,68.0531,39.5131,44.98,87,97,19.98,overcast clouds
125,Te Anau,NZ,-45.4167,167.7167,48.61,76,66,3.38,broken clouds
126,Walvis Bay,NA,-22.9575,14.5053,57.09,94,100,3.44,overcast clouds
127,Fare,PF,-16.7,-151.0167,78.21,74,1,13.73,light rain
128,Guerrero Negro,MX,27.9769,-114.0611,68.86,80,45,11.68,scattered clouds
129,Peleduy,RU,59.6289,112.7406,37.17,97,100,10.58,light rain
130,Mecca,SA,21.4267,39.8261,90.75,30,0,2.75,clear sky
131,Salalah,OM,17.0151,54.0924,84.29,61,0,4.61,clear sky
132,Camacha,PT,33.0833,-16.3333,65.62,83,40,13.8,scattered clouds
133,Nome,US,64.5011,-165.4064,30.27,81,75,0.0,broken clouds
134,Rocha,UY,-34.4833,-54.3333,52.23,95,99,4.74,overcast clouds
135,Visnes,NO,59.3556,5.2242,51.22,87,75,11.5,broken clouds
136,Lompoc,US,34.6391,-120.4579,62.78,93,100,5.75,overcast clouds
137,Narsaq,GL,60.9167,-46.05,28.62,69,82,9.28,broken clouds
138,Natchez,US,31.5604,-91.4032,67.44,73,0,6.91,clear sky
139,Nortelandia,BR,-14.4547,-56.8028,72.0,91,100,3.22,overcast clouds
140,Chuy,UY,-33.6971,-53.4616,52.68,97,72,7.07,broken clouds
141,Labuhan,ID,-6.8844,112.2051,85.44,64,98,5.41,light rain
142,Ambovombe,MG,-25.1667,46.0833,83.48,41,0,7.85,clear sky
143,Dunedin,NZ,-45.8742,170.5036,48.79,84,98,1.01,overcast clouds
144,Guarapari,BR,-20.6667,-40.4975,69.58,90,42,10.04,scattered clouds
145,Isangel,VU,-19.55,169.2667,78.91,83,75,6.91,broken clouds
146,Alyangula,AU,-13.8483,136.4192,85.6,67,52,12.41,broken clouds
147,Narasannapeta,IN,18.4167,84.05,86.13,69,58,5.39,broken clouds
148,Alice Springs,AU,-23.7,133.8833,99.95,11,0,19.57,clear sky
149,Vorotynets,RU,56.0603,45.8633,45.66,94,100,4.88,overcast clouds
150,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,4.61,clear sky
151,Limbang,MY,4.75,115.0,86.11,65,100,6.93,overcast clouds
152,San Policarpo,PH,12.1791,125.5072,87.85,66,99,2.28,overcast clouds
153,Carnarvon,AU,-24.8667,113.6333,70.74,34,0,25.12,clear sky
154,Provideniya,RU,64.3833,-173.3,28.24,74,8,4.61,clear sky
155,Cidreira,BR,-30.1811,-50.2056,61.86,93,100,12.06,overcast clouds
156,Lichtenburg,ZA,-26.152,26.1597,80.37,17,0,14.47,clear sky
157,Cap Malheureux,MU,-19.9842,57.6142,77.47,56,0,10.0,clear sky
158,Sioux Lookout,CA,50.1001,-91.917,55.47,67,75,4.61,broken clouds
159,Coroata,BR,-4.13,-44.1242,71.38,94,9,2.46,clear sky
160,Qaanaaq,GL,77.484,-69.3632,5.95,65,11,7.63,few clouds
161,Hithadhoo,MV,-0.6,73.0833,81.79,75,97,15.79,overcast clouds
162,Ahipara,NZ,-35.1667,173.1667,57.61,82,100,2.95,overcast clouds
163,Qaqortoq,GL,60.7167,-46.0333,23.09,70,96,8.61,overcast clouds
164,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,19.57,few clouds
165,Barrow,US,71.2906,-156.7887,28.42,93,100,23.02,light snow
166,Kondinskoye,RU,59.6481,67.41,47.44,61,6,1.57,clear sky
167,Semnan,IR,35.5729,53.3971,78.19,18,0,6.44,clear sky
168,Kodiak,US,57.79,-152.4072,38.71,65,0,5.75,clear sky
169,Barcelos,PT,41.5388,-8.6151,61.84,81,16,3.27,few clouds
170,Vanimo,PG,-2.6741,141.3028,81.68,80,100,5.66,overcast clouds
171,Juneau,US,58.3019,-134.4197,52.21,94,100,6.91,overcast clouds
172,Mareeba,AU,-17.0,145.4333,84.43,66,21,10.18,few clouds
173,Kupang,ID,-10.1667,123.5833,90.18,66,75,10.36,broken clouds
174,Sunagawa,JP,43.4864,141.9056,59.25,68,3,6.02,clear sky
175,Bambous Virieux,MU,-20.3428,57.7575,77.25,57,40,13.8,scattered clouds
176,Baker City,US,44.7749,-117.8344,57.18,66,0,3.44,clear sky
177,Nabire,ID,-3.3667,135.4833,84.52,74,60,4.47,broken clouds
178,Mehamn,NO,71.0357,27.8492,42.75,81,0,5.75,clear sky
179,Dikson,RU,73.5069,80.5464,32.23,94,100,14.74,overcast clouds
180,Geraldton,AU,-28.7667,114.6,68.41,40,0,18.41,clear sky
181,Eloy,US,32.7559,-111.5548,72.41,39,0,1.99,clear sky
182,Codrington,AU,-38.2667,141.9667,58.1,92,100,8.81,light rain
183,Marawi,PH,7.9986,124.2928,76.28,86,100,2.57,overcast clouds
184,Leningradskiy,RU,69.3833,178.4167,24.31,73,100,19.01,overcast clouds
185,Jinja,UG,0.439,33.2032,72.91,69,73,0.89,light rain
186,Tuktoyaktuk,CA,69.4541,-133.0374,29.17,75,97,10.58,overcast clouds
187,Santa Cruz Del Sur,CU,20.7147,-77.9956,76.3,91,99,9.55,overcast clouds
188,Abu Kamal,SY,34.4506,40.9171,81.0,23,0,2.33,clear sky
189,La Palma,US,33.8464,-118.0467,70.95,87,0,4.61,clear sky
190,Lavrentiya,RU,65.5833,-171.0,27.54,64,2,6.35,clear sky
191,Tazmalt,DZ,36.3868,4.3989,69.46,67,90,4.41,light rain
192,Qasigiannguit,GL,68.8193,-51.1922,25.05,96,98,2.91,overcast clouds
193,Vaitape,PF,-16.5167,-151.75,78.53,73,1,14.63,clear sky
194,Hambantota,LK,6.1241,81.1185,89.94,66,40,12.66,scattered clouds
195,Ust-Ishim,RU,57.6935,71.1665,46.92,70,88,5.28,overcast clouds
196,Wiarton,CA,44.7407,-81.1332,61.39,63,100,12.66,light rain
197,Kahului,US,20.8947,-156.47,80.62,81,40,10.36,scattered clouds
198,Ciudad Bolivar,VE,8.1222,-63.5497,75.92,89,95,6.24,overcast clouds
199,East London,ZA,-33.0153,27.9116,68.94,83,0,4.61,clear sky
200,South Venice,US,27.0531,-82.4243,77.99,94,100,3.0,overcast clouds
201,Touros,BR,-5.1989,-35.4608,75.72,82,96,13.91,overcast clouds
202,Dodoma,TZ,-6.1722,35.7395,73.08,38,67,10.94,broken clouds
203,Aklavik,CA,68.2191,-135.0107,20.95,92,79,1.28,broken clouds
204,Mount Darwin,ZW,-16.7725,31.5838,77.7,39,0,10.11,clear sky
205,Nadym,RU,65.5333,72.5167,40.57,70,99,11.21,overcast clouds
206,Avera,US,33.194,-82.5271,66.25,97,50,5.82,scattered clouds
207,Aykhal,RU,66.0,111.5,33.37,100,100,3.96,light snow
208,Paamiut,GL,61.994,-49.6678,28.26,55,22,7.27,few clouds
209,Upernavik,GL,72.7868,-56.1549,17.74,74,96,4.52,overcast clouds
210,Broome,US,42.2506,-75.833,53.98,75,0,5.75,clear sky
211,La Ronge,CA,55.1001,-105.2842,43.05,42,100,17.27,overcast clouds
212,Yasnyy,RU,51.0333,59.8742,57.85,25,100,12.28,overcast clouds
213,Dingle,PH,10.9995,122.6711,85.71,73,61,11.25,broken clouds
214,Bachaquero,VE,9.9694,-71.1494,79.66,83,100,9.48,overcast clouds
215,Kaitangata,NZ,-46.2817,169.8464,44.87,71,11,3.15,few clouds
216,Otane,NZ,-39.8833,176.6333,52.02,99,100,2.04,light rain
217,Port Lincoln,AU,-34.7333,135.8667,58.82,63,100,14.67,overcast clouds
218,Takoradi,GH,4.8845,-1.7554,76.57,84,95,2.8,overcast clouds
219,Kununurra,AU,-15.7667,128.7333,103.98,21,40,12.66,scattered clouds
220,Khatanga,RU,71.9667,102.5,31.84,98,100,4.23,overcast clouds
221,Saskylakh,RU,71.9167,114.0833,26.29,98,98,1.68,overcast clouds
222,Raymond,US,43.9015,-70.4703,49.15,72,1,2.93,clear sky
223,Kharagpur,IN,22.3333,87.3333,89.02,61,26,3.65,scattered clouds
